listing_id,title,description,property_type,area,lat,lon,bedrooms,size_sqft,furnished,building_age_years,floor,price_aed_month,agent_name,listed_date,status,is_suspicious_truth,dup_group_truth
1311,Spacious Townhouse in Jumeirah Village Circle | Ready to Move,Pet friendly building. Close to metro station and community mall. Balcony with community view.,Townhouse,Jumeirah Village Circle,25.08103,55.23399,4,2040,1,10,0,11750,Sofia Marchetti,2026-04-12,active,0,1311
465,Best Deal! Townhouse in Al Furjan,Covered parking included. Pet friendly building.,Townhouse,Al Furjan,25.01009,55.15305,4,2575,0,15,0,12750,Anjali Menon,2026-08-10,active,0,465
586,Chiller Free Studio in Mirdif,Near international schools. Recently renovated kitchen and bathrooms. Available for immediate move-in.,Studio,Mirdif,25.20952,55.4067,0,417,0,3,8,1750,Sofia Marchetti,2026-06-19,active,0,586
864,Spacious Villa in Downtown Dubai | Ready to Move,Close to metro station and community mall. Recently renovated kitchen and bathrooms. Near international schools.,Villa,Downtown Dubai,25.19896,55.29437,5,5173,1,8,0,49250,Anjali Menon,2026-03-03,active,0,864
2603,URGENT SALE Chiller Free Studio in Palm Jumeirah,Pet friendly building. Balcony with community view.,Studio,Palm Jumeirah,25.08922,55.15115,0,532,1,2,18,3065,Yusuf Karimi,2026-08-28,active,1,2603
469,Stunning 1BR Apartment | Downtown Dubai | Vacant Soon,Balcony with community view. Available for immediate move-in.,1BR Apartment,Downtown Dubai,25.19312,55.28656,2,799,0,2,30,7750,Anjali Menon,2026-04-16,active,0,469
1675,Townhouse with Full Amenities - Jumeirah Village Circle,Pet friendly building. Shared pool and gym access.,Townhouse,Jumeirah Village Circle,25.03566,55.21578,3,2360,1,4,0,11000,Hassan Ali,2026-04-12,active,0,1675
2140,Exclusive Villa in Mirdif | High Floor,Pet friendly building. Shared pool and gym access. Covered parking included.,Villa,Mirdif,25.21394,55.44331,4,3679,0,17,0,13750,Ravi Shankar,2026-08-22,active,0,2140
814,Spacious Townhouse in Al Furjan | Ready to Move,Recently renovated kitchen and bathrooms. Pet friendly building. Near international schools.,Townhouse,Al Furjan,25.02559,55.12785,3,2588,1,22,0,12750,Anjali Menon,2026-01-07,active,0,814
1064,Spacious Studio in Mirdif | Ready to Move,"Landlord maintained, no agency fees. Shared pool and gym access. Balcony with community view.",Studio,Mirdif,25.21448,55.40257,0,492,0,12,13,2250,Daniel Reyes,2026-04-17,active,0,1064
2627,URGENT SALE Villa with Full Amenities - Discovery Gardens,Covered parking included. Built-in wardrobes throughout.,Villa,Discovery Gardens,25.05777,55.14348,4,3680,0,17,0,7153,Michael Costa,2026-03-09,active,1,2627
1697,"Upgraded Villa in Mirdif, Motivated Seller",Pet friendly building. Recently renovated kitchen and bathrooms. Available for immediate move-in.,Villa,Mirdif,25.22583,55.43536,6,4292,0,5,0,16500,Yusuf Karimi,2026-04-15,active,0,1697
1061,Townhouse for Rent in Dubai Sports City - Prime Location,Near international schools. Shared pool and gym access. Close to metro station and community mall.,Townhouse,Dubai Sports City,25.06333,55.20076,3,2029,1,2,0,9750,Elena Popescu,2026-06-24,active,0,1061
732,1BR Apartment for Rent in Al Furjan - Prime Location,"Landlord maintained, no agency fees. Balcony with community view. Covered parking included. Pet friendly building.",1BR Apartment,Al Furjan,25.00552,55.13747,2,864,0,6,16,5000,Anjali Menon,2026-08-17,active,0,732
2606,URGENT SALE Exclusive Townhouse in Dubai Marina | High Floor,Built-in wardrobes throughout. Covered parking included. Available for immediate move-in.,Townhouse,Dubai Marina,25.08367,55.12641,4,1953,1,0,0,7012,Noor Abdullah,2026-06-11,active,1,2606
199,Chiller Free 2BR Apartment in Mirdif,Near international schools. Shared pool and gym access. Available for immediate move-in.,2BR Apartment,Mirdif,25.21121,55.39787,2,1046,1,7,4,5750,Layla Haddad,2026-07-04,active,0,199
409,Spacious Studio in Arabian Ranches | Ready to Move,Balcony with community view. Shared pool and gym access.,Studio,Arabian Ranches,25.06517,55.25965,0,398,0,19,25,2250,Omar Farouk,2026-04-13,active,0,409
985,Chiller Free Townhouse in Dubai Sports City,Near international schools. Covered parking included. Available for immediate move-in. Shared pool and gym access.,Townhouse,Dubai Sports City,25.02901,55.20892,3,2567,1,13,0,13500,Yusuf Karimi,2026-01-13,active,0,985
2431,2BR Apartment in Al Furjan | Well Maintained,Balcony with community view. Near international schools. Pet friendly building.,2BR Apartment,Al Furjan,25.01007,55.12987,2,943,0,21,36,4000,Noor Abdullah,2026-02-18,active,0,1097
2009,Chiller Free 1BR Apartment in Business Bay,Close to metro station and community mall. Covered parking included. Balcony with community view. Recently renovated kitchen and bathrooms.,1BR Apartment,Business Bay,25.16289,55.2849,1,757,1,10,40,7250,Daniel Reyes,2026-04-28,active,0,2009
75,Stunning 1BR Apartment | Arabian Ranches | Vacant Soon,Recently renovated kitchen and bathrooms. Balcony with community view.,1BR Apartment,Arabian Ranches,25.039,55.25407,1,820,0,2,33,6000,Chen Wei,2026-03-31,active,0,75
2521,Palm Jumeirah 3BR Apartment - Negotiable Price,"Landlord maintained, no agency fees. Pet friendly building.",3BR Apartment,Palm Jumeirah,25.13002,55.12831,3,1596,0,20,41,18500,Anjali Menon,2026-03-09,active,0,2165
1344,Exclusive Villa in Jumeirah Village Circle | High Floor,Recently renovated kitchen and bathrooms. Available for immediate move-in. Balcony with community view. Shared pool and gym access.,Villa,Jumeirah Village Circle,25.07292,55.21674,5,2914,0,10,0,16000,Priya Nair,2026-01-26,active,0,1344
1738,Villa for Rent in Dubai Silicon Oasis - Prime Location,Balcony with community view. Pet friendly building. Built-in wardrobes throughout.,Villa,Dubai Silicon Oasis,25.12517,55.39773,5,5043,0,21,0,17500,Anjali Menon,2026-03-09,active,0,1738
233,Spacious 3BR Apartment in Downtown Dubai | Ready to Move,Pet friendly building. Available for immediate move-in. Recently renovated kitchen and bathrooms. Balcony with community view.,3BR Apartment,Downtown Dubai,25.20578,55.26193,3,2061,0,4,11,19750,Grace Okafor,2026-06-21,active,0,233
665,"Upgraded 3BR Apartment in Arabian Ranches, Motivated Seller","Close to metro station and community mall. Balcony with community view. Landlord maintained, no agency fees. Recently renovated kitchen and bathrooms.",3BR Apartment,Arabian Ranches,25.0581,55.26842,3,1981,0,2,37,15750,Priya Nair,2026-01-23,active,0,665
1461,Chiller Free Townhouse in Al Furjan,Covered parking included. Close to metro station and community mall. Balcony with community view. Shared pool and gym access.,Townhouse,Al Furjan,25.01148,55.13234,4,2015,0,20,0,9750,Grace Okafor,2026-01-04,active,0,1461
627,"Upgraded 1BR Apartment in Jumeirah Lake Towers, Motivated Seller",Near international schools. Balcony with community view.,1BR Apartment,Jumeirah Lake Towers,25.08989,55.11868,1,662,1,11,22,6000,Priya Nair,2026-01-08,active,0,627
1263,"Upgraded Townhouse in Jumeirah Village Circle, Motivated Seller","Landlord maintained, no agency fees. Close to metro station and community mall. Shared pool and gym access. Covered parking included.",Townhouse,Jumeirah Village Circle,25.07007,55.21293,3,1816,0,14,0,8750,Grace Okafor,2026-05-09,active,0,1263
1627,Chiller Free 2BR Apartment in Dubai Silicon Oasis,Recently renovated kitchen and bathrooms. Built-in wardrobes throughout. Covered parking included.,2BR Apartment,Dubai Silicon Oasis,25.14155,55.35829,2,1033,1,17,41,4000,Anjali Menon,2026-06-25,active,0,1627
2362,Villa in Al Furjan | Well Maintained,Close to metro station and community mall. Pet friendly building. Shared pool and gym access. Near international schools.,Villa,Al Furjan,25.03194,55.1366,5,3660,0,7,0,21500,Grace Okafor,2026-09-09,active,0,1095
2059,1BR Apartment with Full Amenities - Dubai Silicon Oasis,Balcony with community view. Covered parking included. Available for immediate move-in.,1BR Apartment,Dubai Silicon Oasis,25.11107,55.36987,2,805,0,13,35,3500,Noor Abdullah,2026-07-06,active,0,2059
2385,Must See! 3BR Apartment Available in Al Furjan,"Available for immediate move-in. Near international schools. Landlord maintained, no agency fees.",3BR Apartment,Al Furjan,25.01573,55.15185,4,1707,1,15,24,7500,Sofia Marchetti,2026-05-03,active,0,1374
679,"Upgraded 3BR Apartment in Jumeirah Village Circle, Motivated Seller",Close to metro station and community mall. Pet friendly building. Built-in wardrobes throughout.,3BR Apartment,Jumeirah Village Circle,25.04738,55.18608,3,1871,1,19,24,9250,Fatima Al-Suwaidi,2026-02-15,active,0,679
1111,Spacious Studio in Business Bay | Ready to Move,Recently renovated kitchen and bathrooms. Pet friendly building. Close to metro station and community mall. Shared pool and gym access.,Studio,Business Bay,25.20342,55.25267,0,413,1,1,8,3750,Anjali Menon,2026-05-22,active,0,1111
2491,Must See! Studio Available in Dubai Marina,Covered parking included. Built-in wardrobes throughout.,Studio,Dubai Marina,25.07638,55.13576,0,371,0,20,37,3000,Hassan Ali,2026-02-28,active,0,1003
1893,2BR Apartment with Full Amenities - Jumeirah Lake Towers,Recently renovated kitchen and bathrooms. Built-in wardrobes throughout. Close to metro station and community mall. Near international schools.,2BR Apartment,Jumeirah Lake Towers,25.07291,55.15012,3,1329,0,12,7,10250,Sofia Marchetti,2026-05-12,active,0,1893
1806,3BR Apartment with Full Amenities - Discovery Gardens,Shared pool and gym access. Recently renovated kitchen and bathrooms. Balcony with community view.,3BR Apartment,Discovery Gardens,25.0328,55.14374,3,1411,1,6,15,8500,Michael Costa,2026-05-12,active,0,1806
1010,2BR Apartment with Full Amenities - Arabian Ranches,Close to metro station and community mall. Shared pool and gym access.,2BR Apartment,Arabian Ranches,25.03892,55.27804,3,1213,1,4,8,9000,Grace Okafor,2026-07-24,active,0,1010
368,2BR Apartment with Full Amenities - Business Bay,Available for immediate move-in. Recently renovated kitchen and bathrooms. Covered parking included.,2BR Apartment,Business Bay,25.20052,55.24726,2,1186,0,4,23,8500,Layla Haddad,2026-04-02,active,0,368
1158,"Upgraded 2BR Apartment in Arabian Ranches, Motivated Seller","Available for immediate move-in. Landlord maintained, no agency fees. Close to metro station and community mall. Shared pool and gym access.",2BR Apartment,Arabian Ranches,25.0623,55.29346,2,1025,0,13,28,6750,Noor Abdullah,2026-08-01,active,0,1158
2075,Best Deal! 1BR Apartment in Dubai Silicon Oasis,Close to metro station and community mall. Built-in wardrobes throughout.,1BR Apartment,Dubai Silicon Oasis,25.1038,55.39487,1,876,1,20,39,4000,Hassan Ali,2026-01-31,active,0,2075
2325,2BR Apartment in Palm Jumeirah | Well Maintained,Shared pool and gym access. Available for immediate move-in.,2BR Apartment,Palm Jumeirah,25.09799,55.13665,3,1161,0,8,34,15500,Omar Farouk,2026-03-04,active,0,1778
1164,"Upgraded 1BR Apartment in Jumeirah Lake Towers, Motivated Seller","Covered parking included. Built-in wardrobes throughout. Near international schools. Landlord maintained, no agency fees.",1BR Apartment,Jumeirah Lake Towers,25.08571,55.11954,2,916,1,8,17,6000,Yusuf Karimi,2026-06-28,active,0,1164
1612,"Upgraded 3BR Apartment in Palm Jumeirah, Motivated Seller",Balcony with community view. Recently renovated kitchen and bathrooms. Pet friendly building.,3BR Apartment,Palm Jumeirah,25.13319,55.14287,4,1563,0,16,32,17500,Fatima Al-Suwaidi,2026-07-26,active,0,1612
850,Townhouse with Full Amenities - Palm Jumeirah,"Covered parking included. Landlord maintained, no agency fees. Close to metro station and community mall. Available for immediate move-in.",Townhouse,Palm Jumeirah,25.11157,55.13041,4,2559,1,21,0,29500,Noor Abdullah,2026-05-14,active,0,850
1069,Exclusive Villa in Discovery Gardens | High Floor,"Landlord maintained, no agency fees. Available for immediate move-in. Shared pool and gym access.",Villa,Discovery Gardens,25.06291,55.12258,4,4174,0,11,0,22750,Fatima Al-Suwaidi,2026-08-08,active,0,1069
142,"Upgraded Studio in Al Furjan, Motivated Seller","Available for immediate move-in. Recently renovated kitchen and bathrooms. Landlord maintained, no agency fees. Shared pool and gym access.",Studio,Al Furjan,25.01081,55.15693,0,494,0,15,38,2500,Layla Haddad,2026-05-20,active,0,142
2114,2BR Apartment with Full Amenities - Jumeirah Lake Towers,Balcony with community view. Pet friendly building. Available for immediate move-in. Recently renovated kitchen and bathrooms.,2BR Apartment,Jumeirah Lake Towers,25.04703,55.14656,2,1367,0,13,11,8500,Michael Costa,2026-05-24,active,0,2114
296,Chiller Free Townhouse in Dubai Sports City,Available for immediate move-in. Pet friendly building.,Townhouse,Dubai Sports City,25.0559,55.2115,4,2073,0,19,0,7750,Omar Farouk,2026-04-02,active,0,296
2257,"Hot Deal - Townhouse in Dubai Marina, Call Now",Covered parking included. Shared pool and gym access. Available for immediate move-in.,Townhouse,Dubai Marina,25.08787,55.14241,3,1983,1,8,0,16500,Noor Abdullah,2026-06-08,active,0,1137
2523,"Hot Deal - 1BR Apartment in Discovery Gardens, Call Now",Balcony with community view. Shared pool and gym access.,1BR Apartment,Discovery Gardens,25.05087,55.15335,2,874,0,9,21,5000,Chen Wei,2026-07-10,active,0,534
1772,Chiller Free 3BR Apartment in Mirdif,Covered parking included. Shared pool and gym access.,3BR Apartment,Mirdif,25.23479,55.40639,4,2057,0,2,6,10250,Grace Okafor,2026-03-22,active,0,1772
253,"Upgraded 3BR Apartment in Mirdif, Motivated Seller",Built-in wardrobes throughout. Available for immediate move-in. Close to metro station and community mall.,3BR Apartment,Mirdif,25.22684,55.40927,4,2000,0,15,8,8000,Michael Costa,2026-06-29,active,0,253
1515,1BR Apartment with Full Amenities - Jumeirah Lake Towers,Near international schools. Covered parking included.,1BR Apartment,Jumeirah Lake Towers,25.08067,55.12623,1,891,1,16,25,6750,Grace Okafor,2026-04-03,active,0,1515
1812,Chiller Free 1BR Apartment in Downtown Dubai,"Balcony with community view. Landlord maintained, no agency fees. Recently renovated kitchen and bathrooms.",1BR Apartment,Downtown Dubai,25.18846,55.2777,2,936,0,19,6,11000,Hassan Ali,2026-02-07,active,0,1812
832,Best Deal! 1BR Apartment in Al Furjan,"Covered parking included. Landlord maintained, no agency fees. Pet friendly building.",1BR Apartment,Al Furjan,25.02888,55.16829,1,927,0,5,6,4750,Omar Farouk,2026-02-01,active,0,832
1960,Chiller Free Villa in Jumeirah Lake Towers,Near international schools. Pet friendly building.,Villa,Jumeirah Lake Towers,25.08452,55.12428,5,3012,1,6,0,24750,Noor Abdullah,2026-06-26,active,0,1960
1463,Chiller Free 2BR Apartment in Jumeirah Lake Towers,Built-in wardrobes throughout. Near international schools.,2BR Apartment,Jumeirah Lake Towers,25.05696,55.13603,3,1150,0,19,24,9000,Anjali Menon,2026-07-04,active,0,1463
1379,Villa with Full Amenities - Palm Jumeirah,Covered parking included. Near international schools. Pet friendly building.,Villa,Palm Jumeirah,25.10724,55.13017,5,2878,0,4,0,35500,Omar Farouk,2026-02-03,active,0,1379
32,Exclusive Villa in Jumeirah Village Circle | High Floor,Shared pool and gym access. Near international schools. Recently renovated kitchen and bathrooms.,Villa,Jumeirah Village Circle,25.05602,55.22175,4,4555,1,14,0,21000,Grace Okafor,2026-03-28,active,0,32
1486,Townhouse for Rent in Downtown Dubai - Prime Location,Shared pool and gym access. Available for immediate move-in. Recently renovated kitchen and bathrooms. Built-in wardrobes throughout.,Townhouse,Downtown Dubai,25.21119,55.26995,4,2473,0,11,0,29500,Michael Costa,2026-07-09,active,0,1486
7,Studio with Full Amenities - Dubai Sports City,Built-in wardrobes throughout. Recently renovated kitchen and bathrooms. Near international schools. Covered parking included.,Studio,Dubai Sports City,25.02821,55.19296,0,478,0,14,34,2000,Noor Abdullah,2026-01-30,active,0,7
909,Best Deal! Studio in Jumeirah Village Circle,Covered parking included. Balcony with community view. Shared pool and gym access.,Studio,Jumeirah Village Circle,25.0647,55.23427,0,533,0,14,8,2750,Noor Abdullah,2026-06-11,active,0,909
2027,Stunning 2BR Apartment | Al Furjan | Vacant Soon,Shared pool and gym access. Near international schools. Built-in wardrobes throughout. Balcony with community view.,2BR Apartment,Al Furjan,25.04473,55.12723,3,1196,0,1,36,6250,Noor Abdullah,2026-08-06,active,0,2027
572,Spacious 2BR Apartment in Business Bay | Ready to Move,Available for immediate move-in. Near international schools.,2BR Apartment,Business Bay,25.20853,55.24774,2,955,0,21,37,7000,Yusuf Karimi,2026-03-30,active,0,572
2214,Must See! 2BR Apartment Available in Al Furjan,Near international schools. Pet friendly building. Built-in wardrobes throughout. Available for immediate move-in.,2BR Apartment,Al Furjan,25.04158,55.1384,2,974,0,2,11,4500,Anjali Menon,2026-09-03,active,0,837
595,2BR Apartment for Rent in Palm Jumeirah - Prime Location,Pet friendly building. Near international schools.,2BR Apartment,Palm Jumeirah,25.08765,55.13161,2,1269,0,5,20,16750,Fatima Al-Suwaidi,2026-02-25,active,0,595
117,"Upgraded Villa in Palm Jumeirah, Motivated Seller","Landlord maintained, no agency fees. Recently renovated kitchen and bathrooms.",Villa,Palm Jumeirah,25.09049,55.14138,6,3694,0,21,0,44750,Sofia Marchetti,2026-04-25,active,0,117
1074,Chiller Free 1BR Apartment in Arabian Ranches,Recently renovated kitchen and bathrooms. Pet friendly building.,1BR Apartment,Arabian Ranches,25.0359,55.29364,1,757,1,21,18,5000,Hassan Ali,2026-03-10,active,0,1074
2468,"Hot Deal - Townhouse in Dubai Marina, Call Now",Recently renovated kitchen and bathrooms. Close to metro station and community mall. Built-in wardrobes throughout.,Townhouse,Dubai Marina,25.07254,55.14332,4,2481,0,7,0,21000,Anjali Menon,2026-02-10,active,0,591
2221,Studio in Al Furjan | Well Maintained,"Balcony with community view. Landlord maintained, no agency fees. Close to metro station and community mall. Pet friendly building.",Studio,Al Furjan,25.03817,55.14745,0,426,1,17,30,2500,Grace Okafor,2026-02-19,active,0,1438
2581,URGENT SALE Stunning 1BR Apartment | Jumeirah Lake Towers | Vacant Soon,Close to metro station and community mall. Near international schools. Pet friendly building.,1BR Apartment,Jumeirah Lake Towers,25.06853,55.15161,2,651,0,15,4,2329,Sofia Marchetti,2026-03-30,active,1,2581
2065,Spacious 1BR Apartment in Jumeirah Village Circle | Ready to Move,Recently renovated kitchen and bathrooms. Pet friendly building.,1BR Apartment,Jumeirah Village Circle,25.0568,55.20031,1,898,1,7,8,5000,Daniel Reyes,2026-06-09,active,0,2065
2037,Stunning Studio | Mirdif | Vacant Soon,Close to metro station and community mall. Recently renovated kitchen and bathrooms.,Studio,Mirdif,25.21133,55.41735,0,526,1,8,23,2750,Chen Wei,2026-04-17,active,0,2037
152,Exclusive Studio in Jumeirah Lake Towers | High Floor,"Landlord maintained, no agency fees. Balcony with community view.",Studio,Jumeirah Lake Towers,25.08354,55.15808,0,495,1,2,29,4500,Daniel Reyes,2026-06-26,active,0,152
324,3BR Apartment for Rent in Arabian Ranches - Prime Location,Shared pool and gym access. Pet friendly building.,3BR Apartment,Arabian Ranches,25.07088,55.28017,4,1557,1,21,9,9000,Priya Nair,2026-04-22,active,0,324
578,Chiller Free Villa in Dubai Sports City,Near international schools. Shared pool and gym access.,Villa,Dubai Sports City,25.02626,55.21544,6,4527,0,13,0,17500,Yusuf Karimi,2026-07-25,active,0,578
842,2BR Apartment with Full Amenities - Al Furjan,"Landlord maintained, no agency fees. Shared pool and gym access.",2BR Apartment,Al Furjan,25.01753,55.13868,2,1218,0,5,33,7000,Hassan Ali,2026-04-05,active,0,842
421,2BR Apartment for Rent in Dubai Silicon Oasis - Prime Location,Shared pool and gym access. Recently renovated kitchen and bathrooms. Covered parking included.,2BR Apartment,Dubai Silicon Oasis,25.10443,55.3685,3,1070,1,1,2,4500,Layla Haddad,2026-05-09,active,0,421
1049,Stunning 3BR Apartment | Dubai Silicon Oasis | Vacant Soon,Balcony with community view. Near international schools. Recently renovated kitchen and bathrooms.,3BR Apartment,Dubai Silicon Oasis,25.12137,55.37004,3,1560,1,0,14,6250,Fatima Al-Suwaidi,2026-03-22,active,0,1049
455,"Upgraded 1BR Apartment in Arabian Ranches, Motivated Seller",Recently renovated kitchen and bathrooms. Pet friendly building.,1BR Apartment,Arabian Ranches,25.07001,55.29093,2,893,0,14,39,6000,Anjali Menon,2026-03-18,active,0,455
721,3BR Apartment for Rent in Dubai Sports City - Prime Location,Close to metro station and community mall. Pet friendly building.,3BR Apartment,Dubai Sports City,25.0305,55.21298,4,1561,0,5,34,8000,Elena Popescu,2026-08-14,active,0,721
2031,Exclusive Studio in Mirdif | High Floor,Built-in wardrobes throughout. Recently renovated kitchen and bathrooms.,Studio,Mirdif,25.20562,55.4167,0,482,1,16,35,2250,Ravi Shankar,2026-02-09,active,0,2031
2583,URGENT SALE Exclusive Studio in Mirdif | High Floor,Covered parking included. Near international schools.,Studio,Mirdif,25.23841,55.43785,0,536,1,11,33,1639,Priya Nair,2026-01-03,active,1,2583
1229,"Upgraded Studio in Palm Jumeirah, Motivated Seller","Close to metro station and community mall. Landlord maintained, no agency fees. Near international schools. Pet friendly building.",Studio,Palm Jumeirah,25.09731,55.12324,0,398,0,0,14,6000,Layla Haddad,2026-07-19,active,0,1229
976,Villa with Full Amenities - Dubai Sports City,Balcony with community view. Covered parking included. Near international schools.,Villa,Dubai Sports City,25.04428,55.19812,5,4649,1,9,0,22000,Daniel Reyes,2026-03-31,active,0,976
239,"Upgraded Villa in Dubai Marina, Motivated Seller",Available for immediate move-in. Near international schools.,Villa,Dubai Marina,25.09724,55.12847,6,3646,0,11,0,29750,Noor Abdullah,2026-01-11,active,0,239
93,Best Deal! Villa in Palm Jumeirah,"Built-in wardrobes throughout. Landlord maintained, no agency fees. Shared pool and gym access. Near international schools.",Villa,Palm Jumeirah,25.08902,55.12167,5,3455,0,4,0,49750,Omar Farouk,2026-02-02,active,0,93
1819,Chiller Free 2BR Apartment in Discovery Gardens,Close to metro station and community mall. Built-in wardrobes throughout. Balcony with community view. Near international schools.,2BR Apartment,Discovery Gardens,25.06197,55.1209,3,1164,0,18,20,5000,Sofia Marchetti,2026-03-01,active,0,1819
2492,Must See! Studio Available in Al Furjan,Built-in wardrobes throughout. Recently renovated kitchen and bathrooms. Covered parking included. Shared pool and gym access.,Studio,Al Furjan,25.02734,55.17083,0,434,1,11,40,2500,Omar Farouk,2026-06-18,active,0,918
1478,Stunning Studio | Arabian Ranches | Vacant Soon,"Landlord maintained, no agency fees. Recently renovated kitchen and bathrooms. Available for immediate move-in. Built-in wardrobes throughout.",Studio,Arabian Ranches,25.04276,55.27492,0,417,0,7,7,2500,Yusuf Karimi,2026-04-07,active,0,1478
2119,3BR Apartment for Rent in Al Furjan - Prime Location,"Pet friendly building. Close to metro station and community mall. Landlord maintained, no agency fees.",3BR Apartment,Al Furjan,25.01047,55.15875,4,1546,0,10,3,7750,Fatima Al-Suwaidi,2026-06-26,active,0,2119
2107,Best Deal! Villa in Business Bay,Near international schools. Shared pool and gym access.,Villa,Business Bay,25.16601,55.26446,5,4579,0,0,0,32500,Grace Okafor,2026-04-12,active,0,2107
